gold_status,split,id,category,source_text,auto_gold_decision,auto_gold_target,auto_gold_scope,auto_gold_excluded,auto_gold_dx_m,auto_gold_dy_m,human_decision,human_target,human_dx_m,human_dy_m,reviewer,notes
AUTO-GENERATED / NOT HUMAN VERIFIED,holdout_v2,H2-A01,korean_requirement,이동 접수 내용입니다. 대상: 세미나실 등받이 없는 나무 의자. 변위: X축 +18mm. 이 한 건을 상대 이동 요구사항으로 정리해 주세요.,requirement_ok,세미나실 등받이 없는 나무 의자,,,0.018,0.0,,,,,,
AUTO-GENERATED / NOT HUMAN VERIFIED,holdout_v2,H2-A02,korean_requirement,65mm만 Y축 음의 방향으로 움직여 주세요. 대상은 현관 대기 공간의 파란 벤치입니다.,requirement_ok,현관 대기 공간의 파란 벤치,,,0.0,-0.065,,,,,,
AUTO-GENERATED / NOT HUMAN VERIFIED,holdout_v2,H2-A03,korean_requirement,"촬영 준비실 접이식 탁자를 상대 변위 (X축 +0.12m, Y축 -0.07m)로 한 번 이동해 주세요.",requirement_ok,촬영 준비실 접이식 탁자,,,0.12,-0.07,,,,,,
AUTO-GENERATED / NOT HUMAN VERIFIED,holdout_v2,H2-A04,korean_requirement,수선실 바퀴 달린 재봉 의자를 옮깁니다. 방향과 거리는 Y축 양의 방향으로 4.75센티미터입니다.,requirement_ok,수선실 바퀴 달린 재봉 의자,,,0.0,0.0475,,,,,,
AUTO-GENERATED / NOT HUMAN VERIFIED,holdout_v2,H2-A05,korean_requirement,-X축으로 0.08m 이동할 가구는 옥상 휴게실의 낮은 원형 스툴입니다. 층은 그대로입니다.,requirement_ok,옥상 휴게실의 낮은 원형 스툴,,,-0.08,0.0,,,,,,
AUTO-GENERATED / NOT HUMAN VERIFIED,holdout_v2,H2-A06,korean_requirement,"대상 가구는 음향실 모니터용 책상입니다. 같은 층에서 한 번 옮길 변위를 적습니다.
X축: -2.30cm
Y축: +11mm
이 두 성분을 한 이동에 함께 반영해 주세요.",requirement_ok,음향실 모니터용 책상,,,-0.023,0.011,,,,,,
AUTO-GENERATED / NOT HUMAN VERIFIED,holdout_v2,H2-A07,korean_requirement,이번 조정은 관람객 안내대 뒤의 검정 사무용 의자에만 부탁드립니다. Y축 음의 방향으로 0.006미터 이동이면 됩니다.,requirement_ok,관람객 안내대 뒤의 검정 사무용 의자,,,0.0,-0.006,,,,,,
AUTO-GENERATED / NOT HUMAN VERIFIED,holdout_v2,H2-A08,korean_requirement,요청 변위는 X축 양의 방향으로 7.20cm입니다: 공예실 작업 매트 옆의 작은 서랍장을 그만큼 이동해 주세요.,requirement_ok,공예실 작업 매트 옆의 작은 서랍장,,,0.072,0.0,,,,,,
AUTO-GENERATED / NOT HUMAN VERIFIED,holdout_v2,H2-B01,ambiguity,"대상은 강사 대기실 회색 소파입니다. 이동량 칸에는 Y축 23mm라고 적었는데, 방향의 부호는 아직 정하지 않았습니다. 이 상태로 요구사항을 확인해 주세요.",clarify,강사 대기실 회색 소파,,,,,,,,,,
AUTO-GENERATED / NOT HUMAN VERIFIED,holdout_v2,H2-B02,ambiguity,화면에서 왼쪽으로 0.3m 보낼 것은 공용 인쇄 코너의 흰 탁자예요. 화면의 왼쪽이 프로젝트의 어느 축인지는 모르겠습니다.,clarify,공용 인쇄 코너의 흰 탁자,,,,,,,,,,
AUTO-GENERATED / NOT HUMAN VERIFIED,holdout_v2,H2-B03,ambiguity,"보건실 보호자용 의자 이동 요청: X축 음의 방향, 거리 6. 단위 칸은 비워 두었으니 아직 mm인지 cm인지 정해지지 않았어요.",clarify,보건실 보호자용 의자,,,,,,,,,,
AUTO-GENERATED / NOT HUMAN VERIFIED,holdout_v2,H2-B04,ambiguity,X축 +9cm로 자료정리실 창가의 낮은 책장을 옮기려고 합니다. 여기서 X축이 가구 로컬 축인지 프로젝트 축인지는 정하지 않았습니다.,clarify,자료정리실 창가의 낮은 책장,,,,,,,,,,
AUTO-GENERATED / NOT HUMAN VERIFIED,holdout_v2,H2-B05,ambiguity,그걸 Y축 -0.11m 옮겨 주세요. 어떤 가구를 가리켰는지에 관한 앞 대화나 선택 정보는 전달되지 않았습니다.,clarify,,,,,,,,,,,
AUTO-GENERATED / NOT HUMAN VERIFIED,holdout_v2,H2-B06,ambiguity,바닥 재료 샘플대 옆의 목제 의자는 X축 양의 방향으로 옮기고 싶습니다. 얼마나 옮길지는 아직 결정하지 않았어요.,clarify,바닥 재료 샘플대 옆의 목제 의자,,,,,,,,,,
AUTO-GENERATED / NOT HUMAN VERIFIED,holdout_v2,H2-B07,ambiguity,"화분 관리실 긴 벤치의 변위를 X축 -12cm로 적었지만, 같은 변위의 방향 설명은 X축 양의 방향이라고 적었습니다. 어느 쪽을 고칠지는 아직 정하지 않았습니다.",clarify,화분 관리실 긴 벤치,,,,,,,,,,
AUTO-GENERATED / NOT HUMAN VERIFIED,holdout_v2,H2-B08,ambiguity,"표본 제작실 낮은 수납장 하나를 이동할 예정입니다. 거리만 정해서 X축 10mm, Y축 14mm라고 적었습니다. 두 축 모두 양의 방향인지 음의 방향인지는 미정입니다.",clarify,표본 제작실 낮은 수납장,,,,,,,,,,
AUTO-GENERATED / NOT HUMAN VERIFIED,holdout_v2,H2-C01,unsupported_risky,창고의 '출입문' 이름표가 붙은 독립형 수납장은 문이 아니라 바닥에 놓인 가구입니다. 창고의 '출입문' 이름표가 붙은 독립형 수납장을 X축 +31mm 이동해 주세요.,requirement_ok,창고의 '출입문' 이름표가 붙은 독립형 수납장,,,0.031,0.0,,,,,,
AUTO-GENERATED / NOT HUMAN VERIFIED,holdout_v2,H2-C02,unsupported_risky,현관 경첩에 고정된 실제 출입문을 Y축 +4cm 평행 이동해 주세요. 이름이 비슷한 수납장을 말하는 것이 아닙니다.,unsupported,현관 경첩에 고정된 실제 출입문,,,,,,,,,,
AUTO-GENERATED / NOT HUMAN VERIFIED,holdout_v2,H2-C03,unsupported_risky,지금의 각도는 유지해 주세요. 의상실 거울 앞의 회전 의자를 Y축 -17mm 옮기는 것만 요청합니다.,requirement_ok,의상실 거울 앞의 회전 의자,,,0.0,-0.017,,,,,,
AUTO-GENERATED / NOT HUMAN VERIFIED,holdout_v2,H2-C04,unsupported_risky,벽체에 설치된 매표소 유리창의 위치를 X축 양의 방향으로 0.04m 바꿔 주세요. 유리창 자체가 변경 대상입니다.,unsupported,매표소 유리창,,,,,,,,,,
AUTO-GENERATED / NOT HUMAN VERIFIED,holdout_v2,H2-C05,unsupported_risky,층을 옮기는 요청은 아닙니다. 지하 기록보관실 철제 책상을 X축 -0.22m 움직이되 지금 층과 높이를 그대로 유지해 주세요.,requirement_ok,지하 기록보관실 철제 책상,,,-0.22,0.0,,,,,,
AUTO-GENERATED / NOT HUMAN VERIFIED,holdout_v2,H2-C06,unsupported_risky,이 위치를 바꿀 것은 상담 부스 사이의 고정 벽입니다. 가구는 그대로 두고 그 벽을 Y축 음의 방향으로 8cm 평행 이동해 주세요.,unsupported,상담 부스 사이의 고정 벽,,,,,,,,,,
AUTO-GENERATED / NOT HUMAN VERIFIED,holdout_v2,H2-C07,unsupported_risky,도서 분류대 옆의 목제 발판은 크기를 키우거나 높이지 않습니다. 도서 분류대 옆의 목제 발판을 Y축 +2.5cm 옮기는 한 건만 정리해 주세요.,requirement_ok,도서 분류대 옆의 목제 발판,,,0.0,0.025,,,,,,
